Index,"Lentz Public Health Floor 1, OAU 12-01, OA Fan DP, Present Value (Units: in  W.C.)","Lentz Public Health Floor 1, OAU 12-01, EA Fan DP, Present Value (Units: in  W.C.)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Fan Speed Command (Units: %)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Speed Command (Units: %)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Flow Local (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Exhaust Air Flow Local (Units: CFM)","Lentz Public Health Floor 1, OAU 12-01, OA Flow Correction, Present Value","Lentz Public Health Floor 1, OAU 12-01, OA Flow Pgain, Present Value","Lentz Public Health Floor 1, OAU 12-01, EA Flow Correction, Present Value","Lentz Public Health Floor 1, OAU 12-01, EA Flow Pgain, Present Value","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Outside Air Flow Setpoint (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Exhaust Air Flow Setpoint (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan_Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA_Fan Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Filter Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA_Filter Staus","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Fire_Alarm Shutdown","Lentz Public Health Floor 1, OAU 12-01, AHU12-01 Supply Fan Status, Present Value","Lentz Public Health Floor 1, OAU 12-01, AHU12-01 Return Fan Status, Present Value","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Fan S/S Command","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan S/S Command","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Outside Air Unit Enable BAS","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan Failure","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan Failure Reset","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Failure","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Failure Reset",Mode
16,0.708074534,0.989915966,0.547283582,0.979518008,0.834097854,0.987793112,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
17,0.710403727,0.974789916,0.547283582,0.981433207,0.836980723,0.982475985,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
18,0.708074534,0.981512605,0.546985075,0.981380007,0.83279859,0.985871004,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
19,0.713509317,0.968067227,0.547223881,0.979358408,0.83552482,0.982125257,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
20,0.715062112,0.974789916,0.547223881,0.985689206,0.835232827,0.982302322,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
21,0.708850932,0.973109244,0.548134328,0.979784008,0.837004877,0.979682698,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
22,0.711956522,0.978151261,0.548134328,0.980262808,0.836520971,0.983686612,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
23,0.710403727,0.976470588,0.548134328,0.979518008,0.836391355,0.982909784,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
24,0.708074534,0.974789916,0.548208955,0.979518008,0.835005163,0.982040395,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
25,0.705745342,0.974789916,0.548208955,0.982603607,0.832428755,0.981754657,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
26,0.709627329,0.974789916,0.548208955,0.984625206,0.835578986,0.982192037,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
27,0.707298137,0.994957983,0.548208955,0.984625206,0.833256907,0.986682028,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
28,0.712732919,0.989915966,0.548208955,0.983667607,0.837399463,0.98327,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
29,0.718944099,0.971428571,0.548208955,0.981699207,0.838446192,0.980431776,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
30,0.711180124,0.979831933,0.548208955,0.979252008,0.835756789,0.984516434,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
31,0.718167702,0.971428571,0.548208955,0.979252008,0.84036113,0.98273254,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
32,0.708074534,0.978151261,0.547089552,0.979996808,0.8338116,0.984154965,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
33,0.714285714,0.974789916,0.547089552,0.980688408,0.837385114,0.982421559,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
34,0.708074534,0.981512605,0.54719403,0.980688408,0.834097854,0.984952023,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
35,0.711956522,0.983193277,0.549641791,0.984625206,0.836159028,0.984465409,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
36,0.708850932,0.983193277,0.548447761,0.980688408,0.834207142,0.986801801,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
37,0.710403727,0.974789916,0.548447761,0.982603607,0.83532107,0.981795477,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
38,0.707298137,0.976470588,0.54858209,0.987498005,0.834854981,0.982572126,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
39,0.711956522,0.981512605,0.54858209,0.985316806,0.836422563,0.984901178,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
40,0.707298137,0.983193277,0.54858209,0.986540405,0.832860049,0.984132764,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
41,0.713509317,0.981512605,0.54858209,0.986540405,0.838013821,0.983696638,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
42,0.714285714,0.988235294,0.548701493,0.985050806,0.837903098,0.989244003,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
43,0.715838509,0.966386555,0.552447761,0.982603607,0.841336355,0.98480629,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
44,0.715062112,0.983193277,0.551940299,0.986327605,0.838238735,0.981113895,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
45,0.717391304,0.971428571,0.551492537,0.987604405,0.83791924,0.983427192,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
46,0.710403727,0.971428571,0.553835821,0.984678406,0.83520401,0.97973981,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
47,0.712732919,0.976470588,0.550865672,0.986061606,0.836705589,0.983169383,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
48,0.709627329,0.98487395,0.550865672,0.987604405,0.833481941,0.987299874,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
49,0.711956522,0.979831933,0.551835821,0.987604405,0.836345679,0.982402044,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
50,0.711180124,0.971428571,0.551835821,0.987604405,0.836111797,0.982614736,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
51,0.711956522,0.978151261,0.554552239,0.986221206,0.836427227,0.984684905,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
52,0.715062112,0.988235294,0.554014925,0.990743204,0.840321432,0.989392601,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
53,0.711180124,0.983193277,0.55361194,0.990104804,0.839295389,0.985598157,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
54,0.706521739,0.981512605,0.55361194,0.987498005,0.83767663,0.985904842,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
55,0.711956522,0.986554622,0.55361194,0.988934404,0.836243445,0.98634061,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
56,0.712732919,0.979831933,0.553283582,0.988934404,0.837058325,0.98467846,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
57,0.713509317,0.978151261,0.553283582,0.988934404,0.83725526,0.98343865,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
58,0.711180124,0.983193277,0.553283582,0.984572006,0.837329513,0.98667612,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
59,0.712732919,0.98487395,0.553283582,0.988030005,0.836696621,0.987586507,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
60,0.01863354,0.043697479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0.017857143,0.043697479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,0.01863354,0.043697479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,0.019409938,0.047058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,0.020186335,0.045378151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,0.020186335,0.045378151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,0.020186335,0.045378151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1
67,0.747670807,0.959663866,0.567835821,0.952439219,0.858486141,0.973483471,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,2
68,0.715062112,0.979831933,0.551567164,0.972282811,0.838413788,0.982306977,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
69,0.715062112,0.983193277,0.550716418,0.980741608,0.839935216,0.983422716,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
70,0.715838509,0.983193277,0.550268657,0.980741608,0.835115288,0.98601262,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
71,0.716614907,0.981512605,0.550462687,0.980741608,0.839091998,0.985195689,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
72,0.712732919,0.979831933,0.549283582,0.981220408,0.837042303,0.982059373,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
73,0.719720497,0.983193277,0.547865672,0.981220408,0.840970706,0.987471388,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
74,0.711180124,0.988235294,0.546268657,0.977070809,0.841079994,0.991687278,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
75,0.715838509,0.978151261,0.54758209,0.977709209,0.836246913,0.983368827,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
76,0.710403727,0.981512605,0.547402985,0.979996808,0.835522429,0.985426463,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
77,0.708850932,0.974789916,0.549044776,0.977602809,0.835944277,0.984579812,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
78,0.709627329,0.981512605,0.547865672,0.979624408,0.832819275,0.980149261,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
79,0.711956522,0.976470588,0.547686567,0.978666809,0.838426104,0.982860729,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
80,0.711180124,0.98487395,0.547686567,0.984146406,0.83802267,0.98766743,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
81,0.711180124,0.98487395,0.547686567,0.981858807,0.835765877,0.987801527,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
82,0.713509317,0.978151261,0.547074627,0.980954408,0.837314806,0.98342755,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
83,0.715838509,0.981512605,0.543955224,0.978773208,0.838857518,0.98512121,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
84,0.703416149,0.971428571,0.543955224,0.978773208,0.835499591,0.979753954,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
85,0.707298137,0.978151261,0.548835821,0.984093206,0.836243206,0.983476068,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
86,0.712732919,0.979831933,0.549895522,0.981273607,0.840464559,0.981927246,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
87,0.712732919,0.981512605,0.549895522,0.981273607,0.836989691,0.984230159,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
88,0.716614907,0.976470588,0.549059701,0.97478321,0.839174143,0.983195343,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
89,0.715062112,0.974789916,0.548283582,0.973453211,0.838274368,0.984930897,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
90,0.709627329,0.981512605,0.548283582,0.978241209,0.831702238,0.985468536,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
91,0.711180124,0.973109244,0.548985075,0.984784806,0.835917135,0.976754957,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
92,0.715838509,0.981512605,0.549776119,0.978560409,0.838805385,0.985425747,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
93,0.719720497,0.974789916,0.550522388,0.978560409,0.840953607,0.989099164,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
94,0.715062112,0.978151261,0.548895522,0.980262808,0.838070259,0.983736562,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
95,0.711180124,0.983193277,0.548895522,0.980582008,0.837518317,0.986646221,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
96,0.708074534,0.994957983,0.548477612,0.97494281,0.834133725,0.985330859,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
97,0.718167702,0.968067227,0.546447761,0.972655211,0.840251842,0.983373482,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
98,0.710403727,0.988235294,0.546447761,0.980528808,0.835236055,0.98946493,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
99,0.715062112,0.976470588,0.546447761,0.977177209,0.83836297,0.982742387,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
100,0.708850932,0.969747899,0.547328358,0.977336809,0.834271472,0.979260715,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
101,0.714285714,0.979831933,0.547283582,0.982178007,0.837525132,0.98424663,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
102,0.713509317,0.979831933,0.547283582,0.982922807,0.837782929,0.985569869,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
103,0.718944099,0.974789916,0.547880597,0.980316008,0.840491463,0.983307776,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
104,0.708074534,0.978151261,0.547880597,0.97462361,0.834145922,0.986872878,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
105,0.713509317,0.974789916,0.547343284,0.97457041,0.837570809,0.987302917,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
106,0.715838509,0.983193277,0.545492537,0.973346811,0.838849746,0.986534146,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
107,0.711956522,0.983193277,0.545238806,0.973346811,0.838079346,0.987438804,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
108,0.709627329,0.978151261,0.545238806,0.971804011,0.834822935,0.983504714,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
109,0.717391304,0.976470588,0.545238806,0.969356812,0.836950352,0.984696542,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
110,0.706521739,0.971428571,0.545238806,0.967016013,0.833058777,0.980587177,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
111,0.711180124,0.981512605,0.545238806,0.967973613,0.835737658,0.984307859,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
112,0.716614907,0.968067227,0.545238806,0.965420014,0.839079084,0.978604019,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
113,0.713509317,0.981512605,0.545238806,0.969303612,0.83736682,0.98597001,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
114,0.713509317,0.969747899,0.540716418,0.966377613,0.838737588,0.986046458,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
115,0.711956522,0.979831933,0.543298507,0.963345215,0.836394464,0.985073229,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
116,0.712732919,0.988235294,0.542402985,0.953343619,0.836810453,0.989298787,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
117,0.710403727,0.983193277,0.541462687,0.948449221,0.835390302,0.986416879,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
118,0.715838509,0.983193277,0.541462687,0.955844018,0.837555504,0.986111089,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
119,0.711956522,0.979831933,0.539014925,0.961962015,0.83642914,0.984852122,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
120,0.715062112,0.981512605,0.539014925,0.958823216,0.838868519,0.985705756,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
121,0.712732919,0.978151261,0.539014925,0.954141618,0.838035703,0.982777478,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
122,0.716614907,0.981512605,0.537746269,0.962121615,0.837433899,0.985740131,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
123,0.715062112,0.973109244,0.53758209,0.961004416,0.838492944,0.981211648,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
124,0.717391304,0.986554622,0.53758209,0.957706017,0.8367863,0.986040728,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
125,0.700310559,0.969747899,0.544059701,0.958344417,0.829150223,0.979417549,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
126,0.708850932,0.971428571,0.543865672,0.962972815,0.837419551,0.986055946,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
127,0.704192547,0.979831933,0.543865672,0.961483215,0.832880376,0.984406149,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
128,0.706521739,0.98487395,0.544134328,0.960206416,0.832942673,0.987756052,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
129,0.715062112,0.986554622,0.544746269,0.957759217,0.839197699,0.983048177,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
130,0.710403727,0.979831933,0.542432836,0.957759217,0.83548297,0.984232307,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
131,0.719720497,0.988235294,0.539761194,0.960100016,0.841089201,0.989418919,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
132,0.707298137,0.986554622,0.536671642,0.953609619,0.833523073,0.988235684,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
133,0.720496894,0.981512605,0.536671642,0.954992818,0.841906114,0.985628234,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
134,0.709627329,0.983193277,0.536626866,0.94887482,0.834971443,0.986429053,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
135,0.710403727,0.978151261,0.53558209,0.955790818,0.835574562,0.983891248,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
136,0.722049689,0.983193277,0.536283582,0.952173219,0.842740962,0.986376775,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
137,0.706521739,0.981512605,0.537014925,0.95020482,0.834029937,0.984988188,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
138,0.715062112,0.971428571,0.52880597,0.953609619,0.838170938,0.980508044,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
139,0.712732919,0.974789916,0.539343284,0.956429217,0.836754494,0.98192098,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
140,0.709627329,0.981512605,0.536671642,0.953343619,0.827447525,0.985785247,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
141,0.715838509,0.976470588,0.53580597,0.962547215,0.843684142,0.987155393,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
142,0.707298137,0.979831933,0.530373134,0.956588817,0.833523193,0.984691529,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
143,0.720496894,0.979831933,0.538208955,0.964462414,0.841571792,0.983565406,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
144,0.722826087,0.991596639,0.524522388,0.962334415,0.842971735,0.990551308,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
145,0.707298137,0.979831933,0.535507463,0.958929616,0.833565043,0.98497494,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
146,0.746118012,0.981512605,0.528119403,0.955631218,0.857266272,0.985899829,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
